product_id,bv_product_id,product_url,brand,product_name,category,price,rating
504939,504939,https://www.sephora.com/product/prisme-libre-skin-caring-corrector-P504939,Givenchy,Prisme Libre Skin-Caring Corrector - Givenchy,Color Correct,$42.0,3.5844155844155843
474948,474948,https://www.sephora.com/product/givenchy-le-rouge-sheer-velvet-matte-lipstick-P474948,Givenchy,Le Rouge Sheer Velvet Matte Lipstick - Givenchy,Lipstick,$48.0,4.477099236641221
469469,469469,https://www.sephora.com/product/givenchy-prisme-libre-skin-caring-glow-foundation-P469469,,,,,
458220,458220,https://www.sephora.com/product/givenchy-gentleman-boise-eau-de-parfum-P458220,,,,,
423431,423431,https://www.sephora.com/product/gentleman-P423431,,,,,
45600,45600,https://www.sephora.com/product/very-irresistible-givenchy-P45600,,,,,
457669,457669,https://www.sephora.com/product/givenchy-l-interdit-eau-de-parfum-P457669,,,,,
516979,516979,https://www.sephora.com/product/premium-press-on-nail-kit-P516979,Glamnetic,,Nail,,
500858,500858,https://www.sephora.com/product/press-on-nails-P500858,Glamnetic,Press-On Nail Kit - Glamnetic,Nail,$16.0,3.8119658119658117
503068,503068,https://www.sephora.com/product/glamnetic-brush-on-nail-glue-P503068,Glamnetic,Brush On Nail Glue - Glamnetic,Nail,$8.0,4.351851851851852
520343,520343,https://www.sephora.com/product/guava-toner-pads-P520343,Glow Recipe,Vitamin C Brightening Korean Guava Toner Pads for Undereye & Cheeks - Glow Recipe,Toners,$30.0,4.932885906040268
521347,521347,https://www.sephora.com/product/glow-recipe-prickly-pear-pdrn-toner-pads-P521347,Glow Recipe,PDRN Repair + Soothe Korean Prickly Pear Toner Pads for Skin Barrier Repair - Glow Recipe,Toners,$30.0,4.888888888888889
458219,458219,https://www.sephora.com/product/glow-recipe-watermelon-glow-pha-bha-pore-tight-toner-P458219,Glow Recipe,Watermelon Glow PHA + BHA Pore-Tight Toner - Glow Recipe,Toners,$36.0,4.284194719058942
521346,521346,https://www.sephora.com/product/glow-recipe-toner-pad-P521346,Glow Recipe,LHA + AHA Korean Watermelon Toner Pads for Hydration and Gentle Exfoliation  - Glow Recipe,Toners,$30.0,4.945205479452055
466123,466123,https://www.sephora.com/product/glow-recipe-watermelon-glow-niacinamide-dew-drops-P466123,Glow Recipe,Watermelon Glow Niacinamide Dew Drops - Glow Recipe,Face Serums,$36.0,4.26587075990146
420160,420160,https://www.sephora.com/product/watermelon-glow-sleeping-mask-P420160,,,,,
467762,467762,https://www.sephora.com/product/glow-recipe-mini-watermelon-glow-pha-bha-pore-tight-toner-P467762,Glow Recipe,Mini Watermelon Glow PHA + BHA Pore-Tight Toner - Glow Recipe,Mini Size,$16.0,4.284194719058942
509844,509844,https://www.sephora.com/product/glow-recipe-watermelon-glow-niacinamide-hue-drops-sun-glow-serum-P509844,Glow Recipe,Watermelon Glow Niacinamide Hue Drops Serum - Glow Recipe,Face Serums,$36.0,4.415716096324461
510971,510971,https://www.sephora.com/product/glow-recipe-watermelon-glow-niacinamide-dew-balm-sunscreen-stick-spf-45-P510971,Glow Recipe,Watermelon Glow Niacinamide Dew Balm Face Sunscreen Stick- SPF 45 - Glow Recipe,Face Sunscreen,$30.0,4.168453292496172
518235,518235,https://www.sephora.com/product/glow-recipe-watermelon-glow-dewy-skin-routine-gift-set-P518235,Glow Recipe,Watermelon Glow Dewy Skin Routine Gift Set - Glow Recipe,Value & Gift Sets,$54.0,4.7190082644628095
508431,508431,https://www.sephora.com/product/colorblur-tinted-glow-lip-cheek-balm-with-vitamin-c-P508431,GOOP,Colorblur Tinted Glow Lip + Cheek Balm with Vitamin C - GOOP,Blush,$34.0,4.2811791383219955
478274,478274,https://www.sephora.com/product/goop-goopgenes-clean-nourishing-lip-balm-trio-P478274,GOOP,GENES Clean Nourishing Lip Balm Trio - goop,Value & Gift Sets,$58.0,3.3783783783783785
456213,456213,https://www.sephora.com/product/goop-goopglow-microderm-instant-glow-exfoliator-P456213,GOOP,GLOW Microderm Instant Glow Exfoliator - goop,Exfoliators,$125.0,4.495759717314487
512357,512357,https://www.sephora.com/product/goop-youth-boost-peptide-serum-P512357,GOOP,Youth Boost Peptide Serum - GOOP,Face Serums,$150.0,4.363157894736842
456208,456208,https://www.sephora.com/product/goop-goopglow-15-glycolic-acid-overnight-glow-peel-P456208,,,,,
419219,419219,https://www.sephora.com/product/grandlash-tm-md-lash-enhancing-serum-P419219,Grande Cosmetics,GrandeLASH&#8482; - MD Lash Enhancing Serum - Grande Cosmetics,Mascara,$68.0,4.120648464163822
444603,444603,https://www.sephora.com/product/grandelash-md-lash-enhancing-serum-mini-P444603,Grande Cosmetics,GrandeLASH-MD Lash Enhancing Serum Mini - Grande Cosmetics,Makeup,$36.0,4.120648464163822
419218,419218,https://www.sephora.com/product/grandebrow-brow-enhancing-serum-P419218,Grande Cosmetics,GrandeBROW Brow Enhancing Serum - Grande Cosmetics,Eyebrow,$73.0,4.352112676056338
518456,518456,https://www.sephora.com/product/2-step-lash-system-mini-grandelash-md-and-grandemascara-P518456,Grande Cosmetics,2-Step Lash System Mini GrandeLASH-MD & GrandeMASCARA - Grande Cosmetics,Value & Gift Sets,$25.0,4.8
465760,465760,https://www.sephora.com/product/grande-cosmetics-jumbo-grandelash-trade-md-lash-enhancing-serum-P465760,Grande Cosmetics,Jumbo GrandeLASH&trade; - MD Lash Enhancing Serum - Grande Cosmetics,Mascara,$125.0,4.120648464163822
407471,407471,https://www.sephora.com/product/grandelips-hydrating-lip-plumper-P407471,Grande Cosmetics,GrandeLIPS Hydrating Lip Plumper Gloss - Grande Cosmetics,Lip Gloss,$27.0,3.7865319865319864
